source,target
22,3205
22,5002
22,26502
23,55
23,301
23,552
23,966
23,1074
23,2756
23,2876
23,6034
23,7575
23,9033
23,12068
23,35641
23,38882
23,43476
23,49674
23,83874
23,88232
24,121
24,560
24,807
24,2768
24,3450
24,4212
24,4626
24,6415
24,8075
24,8976
24,14854
24,16669
24,32862
24,32955
24,51845
24,63244
25,41
25,60
25,92
25,125
25,205
25,288
25,1117
25,1158
25,2075
25,2715
25,3560
25,3592
25,4061
25,4376
25,5351
25,10040
25,10497
25,13539
25,16734
25,22650
25,34322
25,55452
25,63957
25,73487
25,89120
25,97044
26,122
26,1040
26,1339
26,2216
26,4264
26,6282
26,6899
26,8407
26,14454
26,23089
26,24459
26,41085
26,49980
26,83590
26,94883
27,119
27,183
27,285
27,448
27,733
27,744
27,1710
27,1800
27,2090
27,2241
27,2874
27,4429
27,14472
27,18229
27,29619
27,31483
27,64018
27,78268
27,79940
27,91008
28,742
28,780
28,2236
28,2532
28,3982
28,4365
28,7044
28,7767
28,11327
28,23251
28,36785
28,51023
28,95192
28,95506
28,97876
29,140
29,248
29,1028
29,2506
29,4101
29,5626
29,15426
29,20951
29,36213
29,41302
29,73352
30,94
30,172
30,277
30,420
30,1267
30,1927
30,5309
30,5984
30,7273
30,9718
30,10632
30,20017
30,24714
30,51441
30,53819
30,95868
31,64
31,74
31,80
31,171
31,230
31,233
31,866
31,1243
31,1918
31,3670
31,4739
31,4865
31,6486
31,6769
31,6802
31,11018
31,16804
31,18597
31,66113
31,69612
32,45
32,72
32,254
32,1782
32,5510
32,7565
32,12311
32,16239
32,17187
32,19821
32,35050
32,44089
32,70428
32,76953
33,36
33,52
33,87
33,104
33,145
33,258
33,274
33,342
33,522
33,775
33,798
33,845
33,1213
33,1834
33,2983
33,3157
33,3290
33,5663
33,8664
33,9130
33,12033
33,13595
33,15496
33,32065
33,35421
33,47149
33,56438
33,64788
33,65749
33,70037
33,92116
34,43
34,155
34,291
34,310
34,398
34,1863
34,2638
34,7798
34,11300
34,50450
34,79572
35,584
35,4042
35,41988
36,9593
36,33864
36,38880
36,65522
36,76766
36,98148
37,67
37,266
37,320
37,2540
37,3118
37,5826
37,10115
37,39506
37,80510
37,96865
38,103
38,411
38,1089
38,1099
38,2988
38,5333
38,5380
38,7446
38,9774
38,14364
38,18824
38,19268
38,21698
38,27242
38,71722
38,91617
39,238
39,787
39,1904
39,2470
39,9116
39,10541
39,11044
39,30977
40,61
40,98
40,100
40,101
40,115
40,239
40,272
40,282
40,298
40,323
40,611
40,1360
40,1876
40,3372
40,5446
40,9144
40,10306
40,15598
40,20763
40,33592
40,36850
40,43098
40,83848
40,95655
41,51
41,217
41,1020
41,1630
41,1662
41,2032
41,5860
41,6333
41,11766
41,12549
41,19749
41,27987
41,29646
41,39267
41,39305
41,76989
42,367
42,419
42,2779
42,6080
42,26023
43,562
43,817
43,1137
43,3493
43,4322
43,4932
43,8728
43,12562
43,19024
43,28760
43,36581
43,52703
43,65059
43,76749
43,88229
44,57
44,1366
44,3412
44,7614
44,9964
44,10501
44,15685
44,26373
44,43211
44,44462
44,90540
45,143
45,160
45,173
45,404
45,797
45,1262
45,1711
45,2235
45,3550
45,5414
45,5950
45,6680
45,7463
45,12029
45,38520
45,57412
46,54
46,69
46,79
46,99
46,216
46,225
46,339
46,394
46,636
46,650
46,654
46,728
46,2005
46,3487
46,7154
46,20143
46,39712
46,63277
47,2882
47,7485
47,11436
47,42376
47,58515
47,65418
47,78878
47,80962
48,50
48,144
48,284
48,755
48,986
48,1065
48,1503
48,2769
48,3151
48,8296
48,8723
48,10965
48,13335
48,16209
48,16887
48,26957
48,33615
48,74296
48,96765
49,312
49,358
49,523
49,740
49,854
49,861
49,1201
49,3589
49,9383
49,10199
49,10252
49,36358
49,46690
49,62558
49,76225
49,81618
50,261
50,623
50,846
50,3934
51,56
51,4431
51,5872
51,9170
51,9572
51,13869
51,23550
51,24384
51,24979
51,30410
51,32146
51,37913
51,43624
51,62301
51,84644
51,94431
52,207
52,341
52,402
52,412
52,734
52,784
52,872
52,890
52,2313
52,3229
52,3418
52,6877
52,12783
52,14503
52,16529
52,35590
52,37922
52,43227
53,90
53,223
53,241
53,540
53,1624
53,8927
53,9617
53,16961
53,17839
53,21086
53,22232
53,27801
53,56647
53,61752
54,109
54,364
54,526
54,593
54,697
54,2296
54,2917
54,3850
54,4481
54,36782
54,45295
54,68984
54,72970
54,90107
55,325
55,1481
55,1777
55,1980
55,1981
55,2053
55,2264
55,3158
55,3797
55,4968
55,64740
56,133
56,156
56,618
56,1483
56,5532
56,22541
56,25351
56,31727
56,76508
57,59
57,5825
57,8909
57,11576
57,13915
57,15653
57,22383
57,58835
57,76450
57,85152
58,362
58,460
58,893
58,1105
58,1317
58,4395
58,7315
58,8109
58,10791
58,41512
58,72581
59,20069
59,24747
59,29903
59,38443
59,45875
59,80501
59,85008
60,152
60,1217
60,3046
60,3568
60,3987
60,6285
60,11138
60,28762
60,41591
60,53076
60,62507
61,786
61,5721
61,7037
61,7192
61,7460
61,10294
61,24956
62,93
62,139
62,169
62,679
62,4818
62,5535
62,20075
62,25163
62,61104
62,77707
62,98196
63,85
63,276
63,1248
63,5958
63,8300
63,8667
63,17078
63,30950
63,44639
64,3728
64,13526
64,40443
64,54631
64,59030
65,75
65,78
65,84
65,123
65,368
65,804
65,889
65,1056
65,1101
65,1512
65,1829
65,7791
65,19914
65,22937
65,23640
65,25916
65,29690
65,41058
65,46522
65,92433
66,132
66,242
66,369
66,949
66,1000
66,1237
66,1293
66,1985
66,2010
66,2977
66,3000
66,6701
66,7337
66,7992
66,8348
66,24156
66,24499
66,36673
66,42770
66,74971
66,81866
67,1027
67,3738
67,13488
67,20734
67,46719
67,47100
67,72897
67,79942
68,848
68,1825
68,4289
68,5418
68,13340
68,13746
68,13823
68,31850
68,71708
68,83661
69,108
69,112
69,166
69,753
69,1119
69,1218
69,1347
69,2434
69,2746
69,5148
69,5704
69,16821
69,38548
69,95371
70,25076
70,35094
71,187
71,321
71,344
71,5178
71,5858
71,7763
71,8301
71,11108
71,11917
71,11930
71,14855
71,15639
71,16316
71,17174
71,17893
71,22388
71,25166
71,50842
71,62090
71,90533
71,91151
72,96
72,179
72,196
72,316
72,438
72,535
72,640
72,691
72,934
72,2222
72,3154
72,7189
72,21914
72,24373
72,43876
72,46382
72,52068
72,84073
73,106
73,417
73,480
73,1092
73,19590
73,30318
73,47910
73,53203
73,96550
74,161
74,203
74,577
74,1325
74,2116
74,2823
74,9271
74,13906
74,14219
74,17386
74,18938
74,61809
75,81
75,782
75,1345
75,5911
75,6153
75,12006
75,12828
75,13354
75,15453
75,23909
75,32614
75,45546
75,77627
75,84780
76,126
76,252
76,1474
76,2892
76,3193
76,20819
76,24334
76,71754
76,82461
77,111
77,167
77,400
77,529
77,1381
77,2536
77,11961
77,19773
77,26865
77,48057
77,96845
78,91
78,142
78,773
78,2815
78,3161
78,5806
78,8787
78,9710
78,11339
78,14573
78,17366
78,28174
78,76975
78,97584
79,464
79,704
79,750
79,1739
79,1938
79,2542
79,2979
79,4875
79,5595
79,12994
79,14582
79,18268
79,20926
79,21727
79,28861
79,36320
79,49719
79,58103
80,2148
80,8999
80,31305
81,186
81,1459
81,2880
81,3496
81,15061
81,39737
82,86
82,89
82,150
82,384
82,449
82,1003
82,1187
82,1263
82,3602
82,4001
82,5935
82,6513
82,6628
82,6655
82,9511
82,16277
82,17188
82,19279
82,19718
82,22053
82,24577
82,32255
82,49741
82,69490
82,69967
82,70705
82,74370
82,97857
83,124
83,194
83,892
83,1295
83,5286
83,6739
83,14322
83,21905
83,23036
83,32062
83,52797
83,56272
83,65695
83,67483
83,94953
84,200
84,660
84,752
84,852
84,923
84,1856
84,2397
84,7957
84,8855
84,9180
84,9540
84,12103
84,53889
84,61306
84,80471
84,90041
84,94707
84,96672
84,98347
85,199
85,430
85,443
85,1157
85,2767
85,5299
85,33013
85,34325
85,55146
85,68914
86,135
86,153
86,304
86,1299
86,1691
86,2382
86,3820
86,8950
86,14295
86,16646
86,32152
86,33559
86,69893
86,85389
87,129
87,1565
87,7588
87,13894
87,44132
87,47300
87,59159
87,63542
88,528
88,597
88,22118
88,23580
88,35127
89,352
89,357
89,675
89,19028
89,20411
89,75697
89,82530
90,463
90,1190
90,2721
90,2925
90,3230
90,6096
90,6254
90,7794
90,9375
90,16921
90,45224
90,57288
90,62273
90,95486
91,334
91,1406
91,2338
91,4435
91,6569
91,7156
91,15932
91,41686
91,93417
92,102
92,168
92,229
92,2563
92,3825
92,14133
92,19556
92,35774
92,57100
93,731
93,746
93,886
93,891
93,1553
93,1846
93,2952
93,5363
93,6804
93,10210
93,16395
94,206
94,281
94,324
94,885
94,1264
94,1566
94,2255
94,2357
94,2621
94,4257
94,4327
94,6847
94,13464
94,24562
94,45668
95,136
95,228
95,235
95,309
95,330
95,884
95,3962
95,4168
95,5140
95,5314
95,5687
95,33259
95,38205
95,58769
95,70822
95,74780
95,86886
96,244
96,317
96,564
96,600
96,1654
96,1871
96,2487
96,3458
96,6338
96,8431
96,8474
96,10662
96,10982
96,14458
96,17723
96,19066
96,39868
96,40763
96,45682
96,56134
96,65613
97,350
97,478
97,2472
97,2945
97,4673
97,5633
97,10108
97,11704
97,40737
97,46518
97,58210
97,96969
98,328
98,381
98,12922
98,13739
98,15330
98,15841
98,29311
98,30179
98,34327
99,681
99,741
99,931
99,1175
99,1730
99,2114
99,64444
100,118
100,131
100,265
100,473
100,758
100,29686
100,59330
101,163
101,213
101,269
101,333
101,346
101,2110
101,3274
101,11289
101,33009
101,54902
102,490
102,3246
102,27912
102,30127
102,40106
102,68297
103,709
103,836
103,1432
103,2068
103,5153
103,6644
103,7427
103,17775
103,27617
103,34187
103,39636
103,69825
103,94615
104,353
104,1206
104,8725
104,11519
104,33225
104,35408
104,45670
104,66236
105,1349
105,1770
105,1790
105,4792
105,9294
105,33743
105,34788
106,613
106,943
106,6023
106,7333
106,13683
106,19091
106,39329
106,44586
107,250
107,256
107,264
107,2682
107,14182
107,19131
108,232
108,279
108,951
108,1572
108,2782
108,3382
108,3538
108,3619
108,13529
108,14580
108,23085
108,23608
108,25497
108,44871
109,157
109,211
109,474
109,1383
109,4315
109,8423
109,9788
109,10437
109,10745
109,11216
109,12629
109,12839
109,14901
109,16835
109,18217
109,21487
109,21496
109,38667
109,43339
109,64632
109,71472
110,214
110,1134
110,1668
110,1755
110,3989
110,12799
110,24921
110,33985
110,36194
110,53610
111,134
111,165
111,6341
111,12173
112,195
112,234
112,322
112,1395
112,2078
112,4901
112,6012
112,13774
112,15558
112,18754
112,72414
112,81438
113,331
113,442
113,1165
113,2510
113,3231
113,3911
113,6530
113,10644
113,15526
113,22286
113,47555
113,78965
113,82900
113,97156
114,175
114,259
114,385
114,431
114,479
114,2037
114,3483
114,42293
114,43097
114,71351
114,85155
115,147
115,429
115,484
115,7610
115,10370
115,16410
115,50905
115,51446
115,57134
115,57959
115,72905
116,138
116,209
116,212
116,382
116,1675
116,4045
116,4604
116,5823
116,7643
116,14098
116,17403
116,36419
116,87750
117,416
117,779
117,979
117,1828
117,5702
117,7298
117,7824
117,9246
117,14324
117,33022
117,34214
117,39998
117,55600
117,84358
117,97007
118,3220
118,5289
118,7744
118,15120
118,25716
119,190
119,198
119,215
119,379
119,396
119,2008
119,2505
119,4720
119,5723
119,7267
119,12633
119,14659
119,21846
119,31150
119,45698
119,54941
119,79370
120,426
120,751
120,1001
120,4696
120,5127
120,13111
120,15302
120,87245
121,3685
121,27696
121,39404
121,40321
121,62700
121,84830
122,1077
122,69719
122,74955
122,81265
123,146
123,648
123,1634
123,1795
123,1919
123,3120
123,4361
123,6922
123,10504
123,35136
123,35447
123,35692
123,75995
124,2533
124,4383
124,5854
124,17087
124,21826
124,66097
124,88227
124,95227
125,220
125,327
125,373
125,1625
125,1734
125,1974
125,2181
125,2998
125,6685
125,76864
125,82640
126,188
126,3679
126,4501
126,5671
126,7152
126,10827
126,20206
126,24379
126,35365
126,35503
126,37200
127,128
127,297
127,525
127,815
127,1531
127,1560
127,2065
127,2311
127,3959
127,4209
127,4250
127,8722
127,15056
127,17085
127,17692
127,22902
127,23998
127,30433
127,30871
127,37271
127,42761
128,148
128,345
128,482
128,1202
128,1321
128,4024
128,5889
128,6048
128,9999
128,11964
128,14722
128,25846
128,31760
129,158
129,599
129,814
129,4622
129,23635
129,56951
129,62017
129,72068
129,84459
130,178
130,13817
130,15949
130,37184
130,52124
130,53713
131,170
131,218
131,335
131,434
131,1500
131,2129
131,2584
131,8405
131,10802
131,12406
131,21258
131,33065
131,60677
131,63907
131,70329
131,92759
132,159
132,191
132,676
132,1336
132,8705
132,14245
132,31358
132,42025
132,46500
132,74404
133,405
133,1104
133,2166
133,4392
133,4841
133,6624
133,9387
133,9501
133,12942
133,20386
133,58430
133,65766
133,74387
133,98056
134,1269
134,1501
134,3298
134,4399
134,7656
134,7828
134,9575
134,10507
134,20633
134,25740
134,38241
134,51779
135,231
135,5066
135,6589
135,9751
135,13743
135,29582
135,41093
135,49043
135,61459
135,75460
136,22020
136,22181
136,44608
137,162
137,286
137,657
137,1153
137,1431
137,1494
137,3898
137,15335
137,25242
137,26147
137,34134
137,44329
137,58798
137,67880
138,299
138,495
138,873
138,6144
138,10506
138,14329
138,21772
138,34933
139,151
139,180
139,289
139,553
139,735
139,4140
139,7269
139,9267
139,17464
139,34185
139,42212
139,59792
140,296
140,415
140,476
140,806
140,1194
140,1329
140,1747
140,4253
140,4513
140,7694
140,10372
140,12561
140,18255
140,24765
140,61961
140,63253
140,91159
140,93357
141,1571
141,1589
141,4492
141,6461
141,17780
141,29674
141,30863
141,35806
141,89320
142,707
142,953
142,2223
142,3281
142,5214
142,6518
142,10255
142,10780
142,11560
142,15175
142,17233
142,20522
143,243
143,355
143,3905
143,4336
143,9605
143,10907
143,18306
143,34679
144,318
144,423
144,1019
144,4296
144,9315
144,9954
144,15938
144,16080
144,20131
144,24874
144,28824
144,37393
144,57068
144,79267
145,192
145,221
145,226
145,371
145,383
145,481
145,1472
145,2786
145,4603
145,7681
145,12505
145,20108
145,42982
145,58238
145,65392
145,68449
145,73404
145,89410
145,98390
146,1260
146,3514
146,4388
146,4391
146,5527
146,6387
146,6584
146,6705
146,9303
146,9697
146,11951
146,26237
146,36395
146,59084
146,66426
146,80426
146,94196
147,204
147,360
147,399
147,1223
147,7045
147,14985
147,26334
147,31676
147,47323
147,49960
147,50653
147,57735
148,1131
148,3947
148,5098
148,8610
148,13215
148,14884
148,26963
148,38223
148,54427
148,83646
149,386
149,489
149,772
149,2853
149,5201
149,5538
149,8486
149,13007
149,19778
149,22548
149,35682
149,47943
149,97254
149,98013
150,1241
150,2320
150,4519
150,5421
150,10872
150,11864
150,44358
150,70145
150,85374
151,421
151,544
151,1232
151,6656
151,22384
151,25424
152,601
152,974
152,1042
152,4588
152,5199
152,6590
152,18330
152,27814
152,29438
152,42896
152,54394
152,70444
152,74601
152,77609
153,455
153,625
153,16849
153,35779
153,44944
153,79304
153,92614
154,596
154,830
154,5641
154,15251
155,181
155,633
155,9205
155,10897
155,27499
155,39200
155,82535
156,456
156,1221
156,1402
156,4780
156,5652
156,6262
156,6795
156,8098
156,9377
156,10707
156,12196
156,16867
156,18841
156,35772
156,56025
156,76359
156,86733
157,1238
157,2196
157,4847
157,5149
157,11127
157,16047
157,17320
157,52731
157,81889
157,92174
158,534
158,910
158,1173
158,1518
158,2018
158,3740
158,11664
158,12462
158,19041
158,24454
158,29455
158,78539
159,1038
159,3700
159,7834
159,8356
159,12556
159,13974
159,18984
159,19684
160,517
160,26139
161,970
161,2352
161,8776
161,14423
161,19539
161,27871
162,4345
162,8489
162,21650
162,81303
163,184
163,185
163,485
163,4611
163,6931
163,21834
163,35624
163,56629
163,64556
163,86200
163,88754
163,89127
164,28811
164,56126
165,667
165,695
165,825
165,1059
165,1841
165,2583
165,3765
165,12352
165,52707
166,1318
166,3805
166,13172
166,19289
166,58983
166,97419
167,849
167,3059
167,18705
167,20564
167,82822
167,88458
167,98503
168,372
168,1647
168,2634
168,3283
168,4713
168,6232
168,9085
168,13384
168,19909
168,20126
168,31063
168,32870
168,38019
168,42600
168,53010
169,240
169,454
169,570
169,606
169,1044
169,1655
169,1820
169,1896
169,4161
169,4403
169,8152
169,8856
169,8984
169,11676
169,14529
169,15148
169,16864
169,20263
169,77695
169,80334
169,96756
170,982
170,6648
170,32730
170,47477
171,2458
171,4126
171,7641
171,24007
171,68603
171,70375
171,99250
172,271
172,465
172,4234
172,9186
172,12066
172,12948
172,16470
172,22944
172,27641
172,35464
173,202
173,255
173,433
173,512
173,726
173,1229
173,1832
173,2134
173,3537
173,4464
173,4566
173,6065
173,6113
173,6292
173,6997
173,9280
173,17619
173,18825
173,22462
173,29044
173,79327
173,82987
174,928
175,1161
175,3199
175,4878
175,5580
175,8117
175,10863
175,13660
175,13883
175,33083
175,59554
175,64802
175,65141
175,65285
175,82070
176,914
176,6149
176,11615
176,15106
176,25824
176,26895
176,42126
177,347
177,777
177,1113
177,1426
177,26047
177,29128
177,41790
177,73711
178,5657
178,8447
178,8965
178,20920
178,22267
178,22889
178,26659
178,32283
178,63463
179,197
179,263
179,647
179,810
179,1225
179,6497
179,8926
179,12862
179,18155
179,20865
179,21647
179,22432
179,28676
179,55392
179,71013
179,74161
179,82974
179,89515
180,2599
180,6626
180,13900
180,31148
180,41532
180,60638
180,62620
180,91299
181,193
181,403
181,1438
181,1586
181,1965
181,2253
181,2879
181,5495
181,6443
181,32051
181,40117
181,47233
181,50790
181,62658
181,85445
182,644
182,694
182,2066
182,2758
182,3069
182,3675
182,10766
182,18819
182,19070
182,23820
182,24739
182,28826
182,43738
182,50243
182,51992
183,44661
184,391
184,509
184,703
184,745
184,929
184,1062
184,4424
184,5426
184,8769
184,10283
184,19288
184,32825
184,45934
184,54760
184,61690
184,65482
184,82267
184,95607
185,227
185,627
185,1064
185,2694
185,3061
185,3872
185,8180
185,11871
185,21784
185,36600
185,65556
186,253
186,409
186,513
186,2144
186,2987
186,4805
186,7632
186,20864
186,43906
186,44787
186,52959
186,55897
186,62421
186,82191
186,83374
186,83587
187,543
187,1233
187,1606
187,1858
187,2199
187,7489
187,8612
187,17693
187,21644
187,26048
187,42435
187,59614
187,76683
188,9691
188,18025
188,25331
188,46771
188,58770
188,72937
189,314
189,3342
189,3449
189,3926
189,31526
189,34981
190,444
190,1861
190,5188
190,11140
190,14669
190,21458
190,56256
190,65631
191,2465
191,10405
191,15830
191,17378
191,17608
191,21104
191,77472
192,7286
192,18497
192,42004
192,65441
193,249
193,665
193,840
193,1163
193,1984
193,2482
193,2742
193,4247
193,9417
193,16601
193,23052
193,24169
193,28658
193,33451
193,81456
194,23359
194,42572
194,46838
194,51144
195,300
195,337
195,486
195,503
195,692
195,698
195,1279
195,1926
195,1931
195,6722
195,9608
195,12485
195,18249
195,20061
195,33034
195,57605
195,62160
195,74726
195,76806
195,80763
196,219
196,725
196,4509
196,16342
196,44326
196,50070
196,67334
196,67827
197,843
197,898
197,2575
197,3009
197,3358
197,4976
197,6992
197,13995
197,16124
197,18377
197,18701
197,19657
197,20155
197,20525
197,47950
197,88925
197,95780
198,287
198,425
198,530
198,712
198,2650
198,3042
198,3973
198,10374
198,12346
198,12822
198,13439
198,15784
198,19281
198,22113
198,34621
198,35731
198,37781
198,47926
198,83143
198,92797
199,1714
199,2608
199,5573
199,15115
200,237
200,18447
200,27171
200,27510
200,89502
201,1453
201,2405
201,7611
201,10887
201,29975
201,30845
201,34870
201,59942
201,93976
202,2342
202,2526
202,3610
202,6587
203,1753
203,68799
203,81436
204,251
204,439
204,488
204,3099
204,60456
204,69123
205,515
205,1155
205,1312
205,4048
205,8821
205,9430
205,13325
205,14305
205,16841
205,16888
205,18821
205,35863
205,45148
205,49900
205,58191
205,71993
206,246
206,506
206,595
206,721
206,1401
206,6095
206,15022
206,17268
206,27764
206,79672
206,92127
207,708
207,2221
207,15002
207,61453
207,85244
207,97271
208,257
208,275
208,351
208,499
208,1583
208,2146
208,2217
208,2517
208,3622
208,9556
208,24557
208,31798
208,35414
208,47412
208,49247
208,60129
208,74322
208,85497
208,95153
209,1429
209,1532
209,3879
209,7221
209,19883
209,24548
209,29872
209,53748
209,60370
209,67031
210,663
210,899
210,2282
210,3768
210,3981
210,4086
210,9083
210,13178
210,22682
211,2165
211,9312
211,9520
211,16537
211,17744
211,47235
212,536
212,2036
212,2754
212,3051
212,3605
212,5358
212,5783
212,7510
212,20619
212,49098
212,58063
212,84134
213,280
213,387
213,418
213,4341
213,5160
213,7587
213,11829
213,23762
213,26582
213,37403
213,41275
213,74642
213,76178
213,86734
214,329
214,767
214,1234
214,2012
214,2417
214,2551
214,6976
214,6982
214,35798
214,57266
214,99711
215,32789
215,39144
216,635
216,4087
216,4867
216,10864
216,13286
216,15263
216,35319
216,37539
216,42895
216,64429
216,74207
216,80081
217,457
217,835
217,1048
217,2029
217,2750
217,5776
217,5790
217,7870
217,9366
217,14070
217,23408
217,43739
217,80421
218,2096
218,2939
218,7988
218,17955
218,19933
218,53108
219,3081
219,4019
219,4518
219,6020
219,10875
219,19115
219,39216
219,43281
219,58857
220,397
220,730
220,1305
220,5710
220,8542
220,9700
220,13095
220,23217
220,29564
220,31909
220,41810
220,80988
221,631
221,1958
221,3849
221,11256
221,22858
221,42077
221,60798
222,575
222,2735
222,10699
222,11228
222,15757
222,34786
223,445
223,1982
223,2404
223,5747
223,6136
223,7748
223,13358
223,13992
224,610
224,765
224,1897
224,4050
224,4216
224,5348
224,7139
224,7926
224,9616
224,13462
224,37754
224,47358
224,57631
224,75170
225,6004
225,70171
226,1108
226,1370
226,1425
226,1766
226,12818
226,18467
226,22921
226,27702
226,45984
226,81937
226,84409
227,959
227,7261
227,12375
227,26811
227,43004
227,51714
227,57929
227,93993
228,376
228,388
228,518
228,829
228,4846
228,4913
228,5768
228,5919
228,9459
228,13866
228,25889
228,27663
228,51269
228,66942
228,70726
228,82149
228,93555
229,972
229,5332
229,11620
229,16077
229,18262
229,36536
229,80429
230,236
230,305
230,359
230,374
230,569
230,2905
230,3666
230,4225
230,4348
230,5230
230,6386
230,13571
230,50032
230,67917
230,83550
231,946
231,1078
231,1210
231,1843
231,9563
231,9622
231,9739
231,15340
231,58332
231,67035
232,7941
232,10185
233,1400
233,1657
233,2473
233,3636
233,5039
233,7215
233,8168
233,54565
234,713
234,858
234,2743
234,5796
234,6293
234,33760
234,49044
234,54225
234,61446
234,87930
235,283
235,1256
235,1805
235,3522
235,10502
235,23919
235,28892
235,32438
235,35010
235,91289
236,630
236,51262
236,58736
236,78062
237,1186
237,1344
237,1407
237,4437
237,6487
237,13072
237,14457
237,22775
237,28965
237,35391
237,81611
238,2490
238,2739
238,4071
238,9631
238,57275
239,354
239,5109
239,10326
239,12672
239,13124
239,33380
239,37946
239,45120
239,89815
240,336
240,557
240,918
240,1129
240,2951
240,4385
240,6473
240,11816
240,16086
240,16581
240,20296
240,23002
240,37400
240,44167
240,45323
240,76092
240,83178
241,1239
241,12443
241,14665
241,15990
241,32049
241,34298
241,41384
242,4226
242,51711
243,1837
243,3125
243,11117
243,32755
244,1554
244,3386
244,4789
244,17176
244,20441
244,29208
244,63184
244,70210
245,278
245,706
245,3336
245,3408
245,8833
245,12686
245,16531
245,20299
245,29357
245,30496
245,33216
245,44511
245,53661
245,55159
245,71135
245,81652
246,3579
246,10794
247,295
247,487
247,498
247,924
247,1015
247,1484
247,1682
247,3682
247,4371
247,4562
247,5753
247,10894
247,11444
247,13693
247,15484
247,15825
247,18309
247,25693
247,28603
247,48449
247,49961
247,50454
247,83175
248,477
248,933
248,1096
248,1164
248,3398
248,3970
248,16527
248,20245
248,35713
248,54252
248,98912
249,612
249,4069
249,4439
249,6132
249,6969
249,11713
249,14365
249,54917
250,5249
250,9915
250,12232
250,40982
250,45539
250,53297
250,60494
251,2219
251,12574
251,56409
252,348
252,587
252,743
252,803
252,1024
252,3075
252,3119
252,3295
252,4891
252,6725
252,9050
252,11935
252,12073
252,12495
252,13360
252,29213
252,46882
252,50538
252,75616
252,78542
253,315
253,605
253,1342
253,1701
253,12365
253,35486
253,39094
253,40616
253,41095
253,42716
253,45252
253,70651
253,73669
